device_id,ntp_server,prefer_flag,key_id,auth_state,reachability,source_file
nrr_cor_c_sw002,10.0.3.52,no,,yes,,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,10.0.3.53,no,,yes,,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,10.0.250.2,yes,1,yes,,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,10.11.3.239,no,,yes,,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,10.11.3.240,no,,yes,,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
NRR-EXT-EXTBR-R002_d41d8cd9,10.11.3.240,no,,,,configs\NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
NRR-EXT-EXTBR-R002_d41d8cd9,10.0.250.2,yes,,,,configs\NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
NRR-EXT-EXTBR-R002_d41d8cd9,10.0.3.52,no,,,,configs\NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
NRR-EXT-EXTBR-R002_d41d8cd9,10.0.3.53,no,,,,configs\NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
NRR-EXT-EXTBR-R002_d41d8cd9,10.11.3.239,no,,,,configs\NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
NRR-INT-INTBR-R001_d41d8cd9,10.11.3.240,no,,,,configs\NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
NRR-INT-INTBR-R001_d41d8cd9,10.0.250.2,yes,,,,configs\NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
NRR-INT-INTBR-R001_d41d8cd9,10.0.3.52,no,,,,configs\NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
NRR-INT-INTBR-R001_d41d8cd9,10.0.3.53,no,,,,configs\NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
NRR-INT-INTBR-R001_d41d8cd9,10.11.3.239,no,,,,configs\NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
NRR-WAN-BR-R001_d41d8cd9,10.11.3.240,no,,,,configs\NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
NRR-WAN-BR-R001_d41d8cd9,10.0.250.2,no,1,,,configs\NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
NRR-WAN-BR-R001_d41d8cd9,10.0.3.52,no,,,,configs\NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
NRR-WAN-BR-R001_d41d8cd9,10.0.3.53,no,,,,configs\NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
NRR-WAN-BR-R001_d41d8cd9,10.11.3.239,no,,,,configs\NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
NRR-WAN-BR-R002_d41d8cd9,10.11.3.240,no,,,,configs\NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
NRR-WAN-BR-R002_d41d8cd9,10.0.250.2,yes,,,,configs\NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
NRR-WAN-BR-R002_d41d8cd9,10.0.3.52,no,,,,configs\NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
NRR-WAN-BR-R002_d41d8cd9,10.0.3.53,no,,,,configs\NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
NRR-WAN-BR-R002_d41d8cd9,10.11.3.239,no,,,,configs\NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
uat_ig_fw001,10.11.3.239,primary,,none,,configs\UAT-PA-Internet-Backup
uat_ig_fw001,10.0.3.52,secondary,,none,,configs\UAT-PA-Internet-Backup
